eventId,subEventName,tags,playerId,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,id,x1,y1,x2,y2
1,Air duel,"['Lost', 'Not accurate']",Jo\u00e3o Filipe Iria Santos Moutinho,"Portugal - Morocco, 1 - 0",Duel,Portugal,1H,2796.751301,Air duel,259478060,8,45,7.0,48.0
10,Shot,"['Head/body', 'Opportunity', 'Position: Out low left', 'Not accurate']",Youn\u00e8s Belhanda,"Portugal - Morocco, 1 - 0",Shot,Morocco,1H,2796.955309,Shot,259478138,93,52,100.0,100.0
3,Goal kick,[],Rui Pedro dos Santos Patr\u00edcio,"Portugal - Morocco, 1 - 0",Free Kick,Portugal,1H,2824.964779,Goal kick,259478062,0,0,57.0,30.0
7,Touch,['Missed ball'],Karim El Ahmadi Al Aroos,"Portugal - Morocco, 1 - 0",Others on the ball,Morocco,1H,2828.305135,Touch,259478140,43,70,38.0,70.0
8,Head pass,['Accurate'],Nabil Dirar,"Portugal - Morocco, 1 - 0",Pass,Morocco,1H,2828.525633,Head pass,259478141,38,70,44.0,50.0
1,Ground loose ball duel,"['Won', 'Accurate']",Mbark Boussoufa,"Portugal - Morocco, 1 - 0",Duel,Morocco,1H,2829.165076,Ground loose ball duel,259478142,44,50,42.0,27.0
1,Ground loose ball duel,"['Lost', 'Not accurate']",Bernardo Mota Veiga de Carvalho e Silva,"Portugal - Morocco, 1 - 0",Duel,Portugal,1H,2829.783755,Ground loose ball duel,259478064,56,50,58.0,73.0
8,Simple pass,['Accurate'],Khalid Bouta\u00efb,"Portugal - Morocco, 1 - 0",Pass,Morocco,1H,2832.426245,Simple pass,259478143,42,27,38.0,9.0
8,Smart pass,['Not accurate'],Achraf Hakimi Mouh,"Portugal - Morocco, 1 - 0",Pass,Morocco,1H,2833.587755,Smart pass,259478145,38,9,71.0,16.0
7,Clearance,"['Interception', 'Not accurate']",C\u00e9dric Ricardo Alves Soares,"Portugal - Morocco, 1 - 0",Others on the ball,Portugal,1H,2836.731974,Clearance,259478068,29,84,42.0,100.0
3,Throw in,['Accurate'],Achraf Hakimi Mouh,"Portugal - Morocco, 1 - 0",Free Kick,Morocco,1H,2842.776058,Throw in,259478147,62,0,65.0,4.0
8,Simple pass,['Not accurate'],Mbark Boussoufa,"Portugal - Morocco, 1 - 0",Pass,Morocco,1H,2844.78267,Simple pass,259478149,65,4,71.0,4.0
1,Ground defending duel,"['Won', 'Accurate']",Achraf Hakimi Mouh,"Portugal - Morocco, 1 - 0",Duel,Morocco,1H,2845.505021,Ground defending duel,259478150,71,4,63.0,10.0
1,Ground attacking duel,"['Interception', 'Lost', 'Not accurate']",Bernardo Mota Veiga de Carvalho e Silva,"Portugal - Morocco, 1 - 0",Duel,Portugal,1H,2845.522492,Ground attacking duel,259478072,29,96,37.0,90.0
1,Ground attacking duel,"['Lost', 'Not accurate']",Khalid Bouta\u00efb,"Portugal - Morocco, 1 - 0",Duel,Morocco,1H,2848.066845,Ground attacking duel,259478151,63,10,64.0,7.0
1,Ground defending duel,"['Won', 'Accurate']",Jo\u00e3o Filipe Iria Santos Moutinho,"Portugal - Morocco, 1 - 0",Duel,Portugal,1H,2848.185236,Ground defending duel,259478074,37,90,36.0,93.0
1,Ground attacking duel,"['Won', 'Accurate']",Jo\u00e3o Filipe Iria Santos Moutinho,"Portugal - Morocco, 1 - 0",Duel,Portugal,1H,2849.783492,Ground attacking duel,259478075,36,93,38.0,95.0
1,Ground defending duel,"['Lost', 'Not accurate']",Khalid Bouta\u00efb,"Portugal - Morocco, 1 - 0",Duel,Morocco,1H,2849.969894,Ground defending duel,259478156,64,7,62.0,5.0
2,Foul,[],Khalid Bouta\u00efb,"Portugal - Morocco, 1 - 0",Foul,Morocco,1H,2852.382264,Foul,259478159,62,5,64.0,7.0
